;Enumeration Sort;;;;;;;;;;;;;;;;
number of elements;;32;64;128;256;512;1024;2048;4096;8192;16384;;;;;;
2-threads;;0;0;0;0;0;3;11;25;62;325;;;;;;
4-threads;;1;0;0;0;0;1;3;13;106;202;;;;;;
8-threads;;1;1;1;1;1;1;3;8;52;288;;;;;;
16-threads;;1;1;1;1;1;1;3;8;58;288;;;;;;
32-threads;;3;2;2;1;2;2;4;21;65;231;;;;;;
64-threads;;6;3;4;4;7;4;9;15;67;308;;;;;;
;;;;;;;;;;;;;;;;;
;Merge Sort;;;;;;;;;;;;;;;;
;;32;64;128;256;512;1024;2048;4096;8192;16384;32768;65536;131072;262144;524288;1048576
;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;3
;;;;;;;;;;;;;;;;;
;Quick Sort Auto Thread;;;;;;;;;;;;;;;;
;;32;64;128;256;512;1024;2048;4096;8192;16384;;;;;;
;;13;18;27;93;131;423;641;2806;;;;;;;;
;1-thread;2;1;0;1;3;9;24;53;240;1070;;;;;;
;2-threads;1;1;1;1;3;7;22;44;124;;;;;;;
;4-threads;3;2;2;2;3;3;15;56;;;;;;;;
;8-threads;10;9;41;46;35;33;40;58;91;;;;;;;
;16-threads;32;80;152;219;369;1410;;;;;;;;;;
;32-threads;109;336;737;;;;;;;;;;;;;
